ФИО сотрудника,Достижение запланированных результатов (0-10),Комментарий о личных качествах,Личный вклад в результат,Качество взаимодействия (0-10),Рекомендации по улучшению,Общий рейтинг (0-10),Итоговая категория результата,Общий балл
Волков В..В..,4,"Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",2,"Следует развивать навыки менторства, делиться опытом с коллегами",6,Хороший результат,2
Михайлов С..В..,5,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков",5,"Рекомендуется работать над улучшением процессов, внедрять инновации",7,Хороший результат,2
Смирнов К..П..,10,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой",9,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",1,Нет результата,2
Волков В..С..,10,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой",1,"Следует развивать навыки менторства, делиться опытом с коллегами",8,Хороший результат,2
Васильев М..С..,9,"Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",8,"Рекомендуется работать над улучшением процессов, внедрять инновации",3,Низкий результат,2
Васильев К..С..,1,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",3,"Рекомендуется работать над улучшением процессов, внедрять инновации",8,Хороший результат,2
Васильев П..П..,10,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",1,"Необходимо совершенствовать технические навыки, изучать новые технологии",3,Низкий результат,2
Петров В..В..,4,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой",8,"Следует развивать навыки презентации результатов, усилить коммуникацию с командой",4,Низкий результат,2
Смирнов В..К..,10,"Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",10,"Необходимо совершенствовать технические навыки, изучать новые технологии",7,Хороший результат,3
Волков В..И..,4,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",1,"Следует развивать навыки презентации результатов, усилить коммуникацию с командой",1,Нет результата,1
Смирнов В..В..,10,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой",7,"Рекомендуется работать над улучшением процессов, внедрять инновации",6,Хороший результат,3
Васильев В..В..,5,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",4,"Следует развивать навыки менторства, делиться опытом с коллегами",8,Хороший результат,2
Петров С..М..,7,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой",8,"Необходимо совершенствовать технические навыки, изучать новые технологии",5,Низкий результат,2
Васильев И..П..,1,"Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов","Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков",5,"Необходимо совершенствовать технические навыки, изучать новые технологии",10,Сверхрезультат,2
Козлов К..К..,7,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",4,"Следует развивать навыки презентации результатов, усилить коммуникацию с командой",3,Низкий результат,2
Васильев М..С..,5,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",3,"Следует развивать навыки презентации результатов, усилить коммуникацию с командой",1,Нет результата,1
Михайлов С..П..,1,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",9,"Рекомендуется работать над улучшением процессов, внедрять инновации",5,Низкий результат,2
Смирнов С..М..,4,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",5,"Необходимо совершенствовать технические навыки, изучать новые технологии",5,Низкий результат,2
Петров В..И..,2,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",1,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",7,Хороший результат,1
Васильев В..К..,1,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",9,"Следует развивать навыки презентации результатов, усилить коммуникацию с командой",10,Сверхрезультат,2
Козлов С..С..,7,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",7,"Необходимо совершенствовать технические навыки, изучать новые технологии",1,Нет результата,2
Михайлов К..И..,7,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков",4,"Рекомендуется работать над улучшением процессов, внедрять инновации",8,Хороший результат,2
Волков С..И..,7,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",8,"Рекомендуется работать над улучшением процессов, внедрять инновации",4,Низкий результат,2
Волков С..С..,9,"Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",9,"Необходимо совершенствовать технические навыки, изучать новые технологии",9,Сверхрезультат,3
Петров С..В..,10,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой",2,"Необходимо совершенствовать технические навыки, изучать новые технологии",9,Сверхрезультат,3
Волков В..В..,8,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",4,"Рекомендуется работать над улучшением процессов, внедрять инновации",8,Хороший результат,2
Васильев В..П..,7,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",10,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",1,Нет результата,2
Козлов К..М..,3,"Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",3,"Следует развивать навыки менторства, делиться опытом с коллегами",6,Хороший результат,2
Сидоров П..М..,2,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",3,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",6,Хороший результат,2
Михайлов М..М..,4,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков",9,"Следует развивать навыки менторства, делиться опытом с коллегами",9,Сверхрезультат,3
Иванов С..П..,6,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",6,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",6,Хороший результат,2
Петров С..К..,1,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков",5,"Рекомендуется работать над улучшением процессов, внедрять инновации",3,Низкий результат,1
Васильев В..К..,2,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков",3,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",3,Низкий результат,1
Волков И..И..,3,"Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",7,"Рекомендуется работать над улучшением процессов, внедрять инновации",2,Нет результата,2
Иванов М..К..,1,"Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",1,"Следует развивать навыки менторства, делиться опытом с коллегами",7,Хороший результат,1
Волков С..С..,3,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",3,"Следует развивать навыки менторства, делиться опытом с коллегами",1,Нет результата,1
Васильев К..С..,8,"Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",3,"Следует развивать навыки презентации результатов, усилить коммуникацию с командой",10,Сверхрезультат,3
Васильев С..С..,2,"Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",1,"Необходимо совершенствовать технические навыки, изучать новые технологии",2,Нет результата,1
Смирнов М..К..,9,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой",10,"Рекомендуется работать над улучшением процессов, внедрять инновации",10,Сверхрезультат,3
Волков В..В..,2,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",6,"Необходимо совершенствовать технические навыки, изучать новые технологии",3,Низкий результат,2
Петров С..И..,1,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",3,"Следует развивать навыки презентации результатов, усилить коммуникацию с командой",9,Сверхрезультат,2
Смирнов В..В..,1,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",8,"Рекомендуется работать над улучшением процессов, внедрять инновации",4,Низкий результат,2
Козлов П..П..,4,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",6,"Рекомендуется работать над улучшением процессов, внедрять инновации",5,Низкий результат,2
Смирнов П..К..,9,"Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов","Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой",3,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",4,Низкий результат,2
Иванов М..К..,10,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",7,"Рекомендуется работать над улучшением процессов, внедрять инновации",10,Сверхрезультат,3
Михайлов В..В..,8,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой",9,"Необходимо совершенствовать технические навыки, изучать новые технологии",10,Сверхрезультат,3
Волков В..С..,10,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",2,"Рекомендуется работать над улучшением процессов, внедрять инновации",6,Хороший результат,2
Сидоров М..В..,5,"Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",9,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",1,Нет результата,2
Васильев К..П..,8,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",9,"Следует развивать навыки презентации результатов, усилить коммуникацию с командой",9,Сверхрезультат,3
Петров П..В..,1,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",3,"Следует развивать навыки презентации результатов, усилить коммуникацию с командой",5,Низкий результат,1
Козлов И..М..,2,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков",6,"Рекомендуется работать над улучшением процессов, внедрять инновации",9,Сверхрезультат,2
Михайлов К..М..,1,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",8,"Рекомендуется работать над улучшением процессов, внедрять инновации",8,Хороший результат,2
Иванов П..С..,6,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков",8,"Рекомендуется работать над улучшением процессов, внедрять инновации",8,Хороший результат,3
Смирнов П..С..,5,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков",9,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",2,Нет результата,2
Васильев М..С..,6,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков",8,"Следует развивать навыки презентации результатов, усилить коммуникацию с командой",1,Нет результата,2
Михайлов В..С..,2,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",1,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",3,Низкий результат,1
Иванов П..С..,1,"Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",7,"Следует развивать навыки презентации результатов, усилить коммуникацию с командой",2,Нет результата,1
Васильев М..С..,7,"Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",8,"Рекомендуется работать над улучшением процессов, внедрять инновации",6,Хороший результат,3
Михайлов В..С..,8,"Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества","Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой",8,"Необходимо совершенствовать технические навыки, изучать новые технологии",8,Хороший результат,3
Волков П..М..,4,"Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества","Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков",1,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",10,Сверхрезультат,2
Михайлов М..В..,10,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",4,"Следует развивать навыки менторства, делиться опытом с коллегами",6,Хороший результат,2
Козлов С..И..,5,"Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов","Активно участвовал в проектах, помогал коллегам, предлагал улучшения процессов",6,"Следует развивать навыки менторства, делиться опытом с коллегами",8,Хороший результат,2
Васильев В..С..,6,"Качественно выполнял работу, соблюдал сроки, проявлял ответственность","Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой",2,"Следует развивать навыки менторства, делиться опытом с коллегами",6,Хороший результат,2
Васильев С..К..,2,"Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",10,"Рекомендуется работать над скоростью принятия решений, улучшить планирование времени для соблюдения дедлайнов",4,Низкий результат,2
Волков С..И..,6,"Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",10,"Следует развивать навыки менторства, делиться опытом с коллегами",6,Хороший результат,3
Петров М..С..,2,"Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества","Демонстрировал высокий уровень профессионализма, своевременно выполнял задачи, проявлял лидерские качества",3,"Следует развивать навыки презентации результатов, усилить коммуникацию с командой",8,Хороший результат,2
Петров С..С..,9,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Качественно выполнял работу, соблюдал сроки, проявлял ответственность",3,"Следует развивать навыки презентации результатов, усилить коммуникацию с командой",7,Хороший результат,2
Смирнов С..С..,8,"Эффективно решал поставленные задачи, проявлял аналитическое мышление, работал над развитием навыков","Проявил инициативу в решении сложных задач, быстро адаптировался к изменениям, эффективно взаимодействовал с командой",2,"Следует развивать навыки презентации результатов, усилить коммуникацию с командой",4,Низкий результат,2
